STARFIRE_INCIDENT_ID,INCIDENT_DATETIME,ALARM_BOX_BOROUGH,ALARM_BOX_NUMBER,ALARM_BOX_LOCATION,INCIDENT_BOROUGH,ZIPCODE,POLICEPRECINCT,CITYCOUNCILDISTRICT,COMMUNITYDISTRICT,COMMUNITYSCHOOLDISTRICT,CONGRESSIONALDISTRICT,ALARM_SOURCE_DESCRIPTION_TX,ALARM_LEVEL_INDEX_DESCRIPTION,HIGHEST_ALARM_LEVEL,INCIDENT_CLASSIFICATION,INCIDENT_CLASSIFICATION_GROUP,DISPATCH_RESPONSE_SECONDS_QY,FIRST_ASSIGNMENT_DATETIME,FIRST_ACTIVATION_DATETIME,FIRST_ON_SCENE_DATETIME,INCIDENT_CLOSE_DATETIME,VALID_DISPATCH_RSPNS_TIME_INDC,VALID_INCIDENT_RSPNS_TIME_INDC,INCIDENT_RESPONSE_SECONDS_QY,INCIDENT_TRAVEL_TM_SECONDS_QY,ENGINES_ASSIGNED_QUANTITY,LADDERS_ASSIGNED_QUANTITY,OTHER_UNITS_ASSIGNED_QUANTITY
1600105560210878,01/01/2016 04:09:04 PM,MANHATTAN,556,BROADWAY & W 14 ST,MANHATTAN,10003,9,2,102,2,12,EMS Link/Medical,Initial Alarm,First Alarm,Medical - EMS Link 10-91,Medical Emergencies,13,01/01/2016 04:09:17 PM,01/01/2016 04:09:28 PM,01/01/2016 04:11:06 PM,01/01/2016 04:20:44 PM,N,Y,122,109,1,0,0
1600104650110879,01/01/2016 04:09:25 PM,MANHATTAN,465,2 AVE & 13 ST,MANHATTAN,10003,9,2,103,1,12,UCT/911,Initial Alarm,First Alarm,Odor - Other Than Smoke,NonMedical Emergencies,15,01/01/2016 04:09:40 PM,01/01/2016 04:09:57 PM,01/01/2016 04:14:41 PM,01/01/2016 04:24:50 PM,N,Y,316,301,2,2,2
1600104650310897,01/01/2016 04:28:01 PM,MANHATTAN,465,2 AVE & 13 ST,MANHATTAN,10003,9,2,103,1,12,Phone,Initial Alarm,First Alarm,Assist Civilian - Non-Medical,NonMedical Emergencies,42,01/01/2016 04:28:43 PM,01/01/2016 04:28:59 PM,01/01/2016 04:34:17 PM,01/01/2016 04:45:33 PM,N,Y,376,334,0,1,0
1600104550110911,01/01/2016 04:54:07 PM,MANHATTAN,455,4 AVE & 11 ST,MANHATTAN,10003,9,2,103,1,12,PD Link/Medical,Initial Alarm,First Alarm,Medical - PD Link 10-91,Medical Emergencies,12,01/01/2016 04:54:19 PM,01/01/2016 04:54:39 PM,01/01/2016 04:57:31 PM,01/01/2016 04:59:53 PM,N,Y,204,192,1,0,0
1600105560311040,01/01/2016 07:26:37 PM,MANHATTAN,556,BROADWAY & W 14 ST,MANHATTAN,10003,9,2,102,2,12,Private Fire Alarm,Initial Alarm,First Alarm,Alarm System - Defective,NonMedical Emergencies,68,01/01/2016 07:27:45 PM,01/01/2016 07:28:06 PM,01/01/2016 07:30:26 PM,01/01/2016 07:37:22 PM,N,Y,229,161,1,1,1
1600103670111090,01/01/2016 08:35:56 PM,MANHATTAN,367,BOWERY & GREAT JONES ST,MANHATTAN,10003,9,2,103,1,12,Private Fire Alarm,Initial Alarm,First Alarm,Odor - Other Smoke,NonMedical Emergencies,61,01/01/2016 08:36:57 PM,01/01/2016 08:37:18 PM,01/01/2016 08:40:29 PM,01/01/2016 08:55:25 PM,N,Y,273,212,3,2,1
1600105770211163,01/01/2016 10:20:51 PM,MANHATTAN,577,BROADWAY & W 17 ST,MANHATTAN,10003,13,2,105,2,12,EMS Link/Medical,Initial Alarm,First Alarm,Medical - Assist Civilian,Medical Emergencies,7,01/01/2016 10:20:58 PM,01/01/2016 10:21:17 PM,01/01/2016 10:24:06 PM,01/01/2016 10:35:48 PM,N,Y,195,188,1,0,0
1600104180211184,01/01/2016 11:28:03 PM,MANHATTAN,418,2 AVE & 1 ST,MANHATTAN,10003,9,2,103,1,12,Phone,Initial Alarm,First Alarm,Utility Emergency - Gas,NonMedical Emergencies,30,01/01/2016 11:28:33 PM,01/01/2016 11:28:51 PM,01/01/2016 11:33:25 PM,01/01/2016 11:43:41 PM,N,Y,322,292,2,2,1
1600204300110114,01/02/2016 06:23:19 AM,MANHATTAN,430,2 AVE & 5 ST,MANHATTAN,10003,9,2,103,1,12,UCT/911,Initial Alarm,First Alarm,Defective Oil Burner,NonMedical Emergencies,12,01/02/2016 06:23:31 AM,01/02/2016 06:23:55 AM,01/02/2016 06:27:04 AM,01/02/2016 06:48:50 AM,N,Y,225,213,3,2,1
1600204360110116,01/02/2016 06:24:22 AM,MANHATTAN,436,1 AVE & 6 ST,MANHATTAN,10003,9,2,103,1,12,Phone,Initial Alarm,First Alarm,Odor - Other Than Smoke,NonMedical Emergencies,51,01/02/2016 06:25:13 AM,01/02/2016 06:25:31 AM,01/02/2016 06:30:00 AM,01/02/2016 06:42:57 AM,N,Y,338,287,1,1,0
1600204540110250,01/02/2016 10:29:17 AM,MANHATTAN,454,3 AVE & E 10 ST,MANHATTAN,10003,9,2,103,1,12,UCT/911,Initial Alarm,First Alarm,Odor - Other Than Smoke,NonMedical Emergencies,9,01/02/2016 10:29:26 AM,01/02/2016 10:29:46 AM,01/02/2016 10:31:11 AM,01/02/2016 10:44:40 AM,N,Y,114,105,2,2,1
1600203390510255,01/02/2016 10:36:39 AM,MANHATTAN,339,BOWERY & HOUSTON ST,MANHATTAN,10003,9,2,103,1,12,EMS Link/Medical,Initial Alarm,First Alarm,Medical - Assist Civilian,Medical Emergencies,4,01/02/2016 10:36:43 AM,01/02/2016 10:36:57 AM,01/02/2016 10:36:53 AM,01/02/2016 10:55:54 AM,N,Y,14,10,1,0,0
1600204940110296,01/02/2016 11:27:31 AM,MANHATTAN,494,3 AVE & E 20 ST,MANHATTAN,10003,13,2,106,2,12,EMS Link/Medical,Initial Alarm,First Alarm,Medical - Assist Civilian,Medical Emergencies,6,01/02/2016 11:27:37 AM,01/02/2016 11:27:49 AM,01/02/2016 11:31:08 AM,01/02/2016 11:41:07 AM,N,Y,217,211,1,0,0
1600203670110359,01/02/2016 01:26:14 PM,MANHATTAN,367,BOWERY & GREAT JONES ST,MANHATTAN,10003,9,2,103,1,12,PD Link/Medical,Initial Alarm,First Alarm,Medical - Assist Civilian,Medical Emergencies,10,01/02/2016 01:26:24 PM,01/02/2016 01:26:41 PM,01/02/2016 01:30:41 PM,01/02/2016 02:26:08 PM,N,Y,267,257,2,0,0
1600203390610411,01/02/2016 02:33:56 PM,MANHATTAN,339,BOWERY & HOUSTON ST,MANHATTAN,10003,9,2,103,1,12,UCT/911,Initial Alarm,First Alarm,Assist Civilian - Non-Medical,NonMedical Emergencies,6,01/02/2016 02:34:02 PM,01/02/2016 02:34:21 PM,01/02/2016 02:39:07 PM,01/02/2016 02:53:21 PM,N,Y,311,305,0,1,0
1600203391010529,01/02/2016 05:04:58 PM,MANHATTAN,339,BOWERY & HOUSTON ST,MANHATTAN,10003,9,2,103,1,12,PD Link/Medical,Initial Alarm,First Alarm,Medical - Assist Civilian,Medical Emergencies,4,01/02/2016 05:05:02 PM,01/02/2016 05:05:26 PM,01/02/2016 05:11:22 PM,01/02/2016 05:19:11 PM,N,Y,384,380,1,0,0
1600204730110546,01/02/2016 05:25:07 PM,MANHATTAN,473,2 AVE & E 15 ST,MANHATTAN,10003,13,2,106,2,12,Phone,Initial Alarm,First Alarm,Assist Civilian - Non-Medical,NonMedical Emergencies,79,01/02/2016 05:26:26 PM,01/02/2016 05:26:45 PM,01/02/2016 05:31:48 PM,01/02/2016 05:41:24 PM,N,Y,401,322,0,1,0
1600205880110554,01/02/2016 05:35:56 PM,MANHATTAN,588,5 AVE & 20 ST,MANHATTAN,10003,13,2,105,2,12,UCT/911,Initial Alarm,First Alarm,Utility Emergency - Water,NonMedical Emergencies,12,01/02/2016 05:36:08 PM,01/02/2016 05:36:23 PM,01/02/2016 05:45:49 PM,01/02/2016 06:07:15 PM,N,Y,593,581,0,1,0
1600204780110618,01/02/2016 06:47:35 PM,MANHATTAN,478,3 AVE & E 16 ST,MANHATTAN,10003,13,2,106,2,12,Private Fire Alarm,Initial Alarm,First Alarm,Utility Emergency - Electric,NonMedical Emergencies,49,01/02/2016 06:48:24 PM,01/02/2016 06:48:38 PM,01/02/2016 06:52:26 PM,01/02/2016 07:04:18 PM,N,Y,291,242,3,2,1
1600205880410653,01/02/2016 07:13:17 PM,MANHATTAN,588,5 AVE & 20 ST,MANHATTAN,10003,13,2,105,2,12,UCT/911,Initial Alarm,First Alarm,Utility Emergency - Water,NonMedical Emergencies,18,01/02/2016 07:13:35 PM,01/02/2016 07:14:44 PM,01/02/2016 07:21:02 PM,01/02/2016 07:29:58 PM,N,Y,465,447,0,1,0
1600203960110681,01/02/2016 07:45:06 PM,MANHATTAN,396,BROADWAY & 8 ST,MANHATTAN,10003,6,2,102,2,12,PD Link/Medical,Initial Alarm,First Alarm,Medical - Assist Civilian,Medical Emergencies,11,01/02/2016 07:45:17 PM,01/02/2016 07:45:31 PM,01/02/2016 07:50:55 PM,01/02/2016 07:55:57 PM,N,Y,349,338,1,0,0
1600203670210859,01/02/2016 11:57:17 PM,MANHATTAN,367,BOWERY & GREAT JONES ST,MANHATTAN,10003,9,2,103,1,12,EMS Link/Medical,Initial Alarm,First Alarm,Medical - Assist Civilian,Medical Emergencies,4,01/02/2016 11:57:21 PM,01/02/2016 11:57:48 PM,01/03/2016 12:03:26 AM,01/03/2016 12:26:55 AM,N,Y,369,365,1,0,0
1600304710110047,01/03/2016 02:29:43 AM,MANHATTAN,471,3 AVE & E 14 ST,MANHATTAN,10003,9,2,103,1,12,UCT/911,Initial Alarm,First Alarm,Utility Emergency - Gas,NonMedical Emergencies,12,01/03/2016 02:29:55 AM,01/03/2016 02:30:14 AM,01/03/2016 02:34:02 AM,01/03/2016 02:41:07 AM,N,Y,259,247,2,2,1
1600303670110085,01/03/2016 04:03:53 AM,MANHATTAN,367,BOWERY & GREAT JONES ST,MANHATTAN,10003,9,2,103,1,12,UCT/911,Initial Alarm,First Alarm,Utility Emergency - Gas,NonMedical Emergencies,8,01/03/2016 04:04:01 AM,01/03/2016 04:04:35 AM,01/03/2016 04:08:40 AM,01/03/2016 04:26:00 AM,N,Y,287,279,2,2,1
1600304370110159,01/03/2016 08:14:30 AM,MANHATTAN,437,2 AVE & E 7 ST,MANHATTAN,10003,9,2,103,1,12,UCT/911,Initial Alarm,First Alarm,Defective Oil Burner,NonMedical Emergencies,7,01/03/2016 08:14:37 AM,01/03/2016 08:14:54 AM,01/03/2016 08:17:45 AM,01/03/2016 08:41:14 AM,N,Y,195,188,3,2,1
1600304360310203,01/03/2016 09:47:38 AM,MANHATTAN,436,1 AVE & 6 ST,MANHATTAN,10003,9,2,103,1,12,UCT/911,DEFAULT RECORD,First Alarm,Non-Medical MFA - Phone,NonMedical MFAs,12,01/03/2016 09:47:50 AM,01/03/2016 09:48:13 AM,01/03/2016 09:52:05 AM,01/03/2016 09:53:29 AM,N,Y,267,255,1,1,0
1600305250110304,01/03/2016 12:01:38 PM,MANHATTAN,525,BROADWAY & 12 ST,MANHATTAN,10003,9,2,102,2,12,UCT/911,Initial Alarm,First Alarm,Multiple Dwelling 'A' - Food on the stove fire,Structural Fires,9,01/03/2016 12:01:47 PM,01/03/2016 12:02:14 PM,01/03/2016 12:04:02 PM,01/03/2016 12:15:43 PM,N,Y,144,135,3,2,1
1600305570110349,01/03/2016 01:39:53 PM,MANHATTAN,557,5 AVE & 14 ST,MANHATTAN,10003,6,2,102,2,12,UCT/911,Initial Alarm,First Alarm,Odor - Other Than Smoke,NonMedical Emergencies,5,01/03/2016 01:39:58 PM,01/03/2016 01:40:12 PM,01/03/2016 01:42:28 PM,01/03/2016 01:54:24 PM,N,Y,155,150,3,2,1
1600304860110492,01/03/2016 05:11:24 PM,MANHATTAN,486,3 AVE & E 18 ST,MANHATTAN,10003,13,2,106,2,12,EMS Link/Medical,Initial Alarm,First Alarm,Medical - Assist Civilian,Medical Emergencies,6,01/03/2016 05:11:30 PM,01/03/2016 05:11:57 PM,01/03/2016 05:20:04 PM,01/03/2016 05:29:02 PM,N,Y,520,514,1,0,0
1600305250410577,01/03/2016 06:35:24 PM,MANHATTAN,525,BROADWAY & 12 ST,MANHATTAN,10003,9,2,102,2,12,PD Link/Medical,Initial Alarm,First Alarm,Medical - PD Link 10-91,Medical Emergencies,4,01/03/2016 06:35:28 PM,01/03/2016 06:35:49 PM,01/03/2016 06:41:38 PM,01/03/2016 06:42:51 PM,N,Y,374,370,1,0,0
1600304480110709,01/03/2016 09:59:43 PM,MANHATTAN,448,2 AVE & 9 ST,MANHATTAN,10003,9,2,103,1,12,UCT/911,Initial Alarm,First Alarm,Odor - Other Than Smoke,NonMedical Emergencies,9,01/03/2016 09:59:52 PM,01/03/2016 10:00:11 PM,01/03/2016 10:02:51 PM,01/03/2016 10:23:32 PM,N,Y,188,179,3,2,1
1600304890110742,01/03/2016 11:00:17 PM,MANHATTAN,489,2 AVE & E 19 ST,MANHATTAN,10003,13,2,106,2,12,PD Link/Medical,Initial Alarm,First Alarm,Medical - Assist Civilian,Medical Emergencies,6,01/03/2016 11:00:23 PM,01/03/2016 11:00:51 PM,01/03/2016 11:06:20 PM,01/03/2016 11:46:28 PM,N,Y,363,357,1,0,0
1600404860110047,01/04/2016 01:47:32 AM,MANHATTAN,486,3 AVE & E 18 ST,MANHATTAN,10003,13,2,106,2,12,EMS Link/Medical,Initial Alarm,First Alarm,Medical - Assist Civilian,Medical Emergencies,6,01/04/2016 01:47:38 AM,01/04/2016 01:48:16 AM,01/04/2016 01:52:41 AM,01/04/2016 02:04:39 AM,N,Y,309,303,1,0,0
1600404620110257,01/04/2016 08:13:33 AM,MANHATTAN,462,1 AVE & E 12 ST,MANHATTAN,10003,9,2,103,1,12,PD Link/Medical,Initial Alarm,First Alarm,Medical - Assist Civilian,Medical Emergencies,13,01/04/2016 08:13:46 AM,01/04/2016 08:14:17 AM,01/04/2016 08:18:20 AM,01/04/2016 08:33:58 AM,N,Y,287,274,1,1,0
1600405660110333,01/04/2016 09:22:56 AM,MANHATTAN,566,UNION SQ WEST & E 15 ST,MANHATTAN,10003,13,2,105,2,12,PD Link/Medical,Initial Alarm,First Alarm,Medical - Assist Civilian,Medical Emergencies,11,01/04/2016 09:23:07 AM,01/04/2016 09:23:44 AM,01/04/2016 09:28:24 AM,01/04/2016 09:54:07 AM,N,Y,328,317,1,0,0
1600404880210352,01/04/2016 09:36:33 AM,MANHATTAN,488,IRVING PL & E 19 ST,MANHATTAN,10003,13,2,106,2,12,Phone,Initial Alarm,First Alarm,Assist Civilian - Non-Medical,NonMedical Emergencies,584,01/04/2016 09:46:17 AM,01/04/2016 09:46:35 AM,01/04/2016 09:49:34 AM,01/04/2016 09:53:19 AM,N,Y,781,197,0,1,0
1600403860110369,01/04/2016 09:57:59 AM,MANHATTAN,386,COOPER SQ W OPP 6 ST,MANHATTAN,10003,9,2,103,1,12,Private Fire Alarm,Initial Alarm,First Alarm,Alarm System - Defective,NonMedical Emergencies,71,01/04/2016 09:59:10 AM,01/04/2016 09:59:28 AM,01/04/2016 10:02:33 AM,01/04/2016 10:25:07 AM,N,Y,274,203,1,1,0
1600404880310405,01/04/2016 10:40:40 AM,MANHATTAN,488,IRVING PL & E 19 ST,MANHATTAN,10003,13,2,106,2,12,Verbal,Initial Alarm,First Alarm,Assist Civilian - Non-Medical,NonMedical Emergencies,29,01/04/2016 10:41:09 AM,01/04/2016 10:41:09 AM,01/04/2016 10:51:25 AM,01/04/2016 10:51:39 AM,N,N,645,616,0,1,0
1600404540110587,01/04/2016 02:02:07 PM,MANHATTAN,454,3 AVE & E 10 ST,MANHATTAN,10003,9,2,103,1,12,PD Link/Medical,Initial Alarm,First Alarm,Medical - Assist Civilian,Medical Emergencies,5,01/04/2016 02:02:12 PM,01/04/2016 02:02:33 PM,01/04/2016 02:06:36 PM,01/04/2016 02:24:58 PM,N,Y,269,264,1,0,0
1600404560210670,01/04/2016 03:13:31 PM,MANHATTAN,456,2 AVE & E 11 ST,MANHATTAN,10003,9,2,103,1,12,Phone,DEFAULT RECORD,First Alarm,Non-Medical MFA - Phone,NonMedical MFAs,35,01/04/2016 03:14:06 PM,01/04/2016 03:14:13 PM,01/04/2016 03:17:02 PM,01/04/2016 03:21:30 PM,N,Y,211,176,2,2,1
1600404790110696,01/04/2016 03:38:21 PM,MANHATTAN,479,PARK AVE S & E 16 ST,MANHATTAN,10003,13,2,105,2,12,Private Fire Alarm,DEFAULT RECORD,First Alarm,Non-Medical MFA - Private Fire Alarm,NonMedical MFAs,36,01/04/2016 03:38:57 PM,01/04/2016 03:39:31 PM,01/04/2016 03:43:24 PM,01/04/2016 03:54:10 PM,N,Y,303,267,1,0,1
1600404480110708,01/04/2016 03:56:53 PM,MANHATTAN,448,2 AVE & 9 ST,MANHATTAN,10003,9,2,103,1,12,PD Link/Medical,Initial Alarm,First Alarm,Medical - Assist Civilian,Medical Emergencies,4,01/04/2016 03:56:57 PM,01/04/2016 03:57:16 PM,01/04/2016 04:02:29 PM,01/04/2016 04:10:35 PM,N,Y,336,332,1,0,0
1600404550110740,01/04/2016 04:27:09 PM,MANHATTAN,455,4 AVE & 11 ST,MANHATTAN,10003,9,2,103,1,12,UCT/911,Initial Alarm,First Alarm,Demolition Debris or Rubbish Fire,NonStructural Fires,18,01/04/2016 04:27:27 PM,01/04/2016 04:27:44 PM,01/04/2016 04:31:48 PM,01/04/2016 04:50:23 PM,N,Y,279,261,1,0,0
1600405770110782,01/04/2016 04:53:17 PM,MANHATTAN,577,BROADWAY & W 17 ST,MANHATTAN,10003,13,2,105,2,12,EMS Link/Medical,Initial Alarm,First Alarm,Medical - Assist Civilian,Medical Emergencies,6,01/04/2016 04:53:23 PM,01/04/2016 04:53:46 PM,01/04/2016 04:56:54 PM,01/04/2016 05:01:47 PM,N,Y,217,211,1,0,0
1600404300110811,01/04/2016 05:20:34 PM,MANHATTAN,430,2 AVE & 5 ST,MANHATTAN,10003,9,2,103,1,12,EMS Link/Medical,Initial Alarm,First Alarm,Medical - Assist Civilian,Medical Emergencies,5,01/04/2016 05:20:39 PM,01/04/2016 05:21:00 PM,01/04/2016 05:24:39 PM,01/04/2016 05:28:14 PM,N,Y,245,240,1,0,0
1600405670110826,01/04/2016 05:38:21 PM,MANHATTAN,567,5 AVE & 16 ST,MANHATTAN,10003,13,2,105,2,12,PD Link/Medical,Initial Alarm,First Alarm,Medical - Assist Civilian,Medical Emergencies,8,01/04/2016 05:38:29 PM,01/04/2016 05:38:51 PM,01/04/2016 05:42:22 PM,01/04/2016 06:07:28 PM,N,Y,241,233,1,0,0
1600403670110863,01/04/2016 06:18:05 PM,MANHATTAN,367,BOWERY & GREAT JONES ST,MANHATTAN,10003,9,2,103,1,12,UCT/911,Initial Alarm,First Alarm,Multiple Dwelling 'A' - Food on the stove fire,Structural Fires,6,01/04/2016 06:18:11 PM,01/04/2016 06:18:32 PM,01/04/2016 06:20:32 PM,01/04/2016 06:37:09 PM,N,Y,147,141,3,2,1
1600403970110968,01/04/2016 07:59:54 PM,MANHATTAN,397,GREENE & 8 ST,MANHATTAN,10003,6,1,102,2,12,EMS Link/Medical,Initial Alarm,First Alarm,Medical - EMS Link 10-91,Medical Emergencies,6,01/04/2016 08:00:00 PM,01/04/2016 08:00:20 PM,01/04/2016 08:03:40 PM,01/04/2016 08:10:33 PM,N,Y,226,220,1,0,0
1600405770210970,01/04/2016 08:02:09 PM,MANHATTAN,577,BROADWAY & W 17 ST,MANHATTAN,10003,13,2,105,2,12,PD Link/Medical,Initial Alarm,First Alarm,Medical - Assist Civilian,Medical Emergencies,5,01/04/2016 08:02:14 PM,01/04/2016 08:02:30 PM,01/04/2016 08:06:01 PM,01/04/2016 08:17:36 PM,N,Y,232,227,1,0,0
1600403390111033,01/04/2016 09:27:28 PM,MANHATTAN,339,BOWERY & HOUSTON ST,MANHATTAN,10003,9,2,103,1,12,UCT/911,Initial Alarm,First Alarm,Utility Emergency - Gas,NonMedical Emergencies,13,01/04/2016 09:27:41 PM,01/04/2016 09:28:02 PM,01/04/2016 09:33:21 PM,01/04/2016 09:57:02 PM,N,Y,353,340,3,1,1
1600404810111142,01/04/2016 11:30:28 PM,MANHATTAN,481,2 AVE & E 17 ST,MANHATTAN,10003,13,2,106,2,12,Private Fire Alarm,Initial Alarm,First Alarm,Alarm System - Defective,NonMedical Emergencies,47,01/04/2016 11:31:15 PM,01/04/2016 11:31:35 PM,01/04/2016 11:35:22 PM,01/05/2016 12:06:54 AM,N,Y,294,247,3,2,1
1600504790110152,01/05/2016 05:44:44 AM,MANHATTAN,479,PARK AVE S & E 16 ST,MANHATTAN,10003,13,2,105,2,12,Private Fire Alarm,Initial Alarm,First Alarm,Alarm System - Defective,NonMedical Emergencies,57,01/05/2016 05:45:41 AM,01/05/2016 05:46:01 AM,01/05/2016 05:49:48 AM,01/05/2016 06:04:04 AM,N,Y,304,247,1,1,1
1600504850110189,01/05/2016 06:30:52 AM,MANHATTAN,485,1 AVE & E 18 ST,MANHATTAN,10003,13,2,106,2,12,Private Fire Alarm,Initial Alarm,First Alarm,Multiple Dwelling 'B' Fire,Structural Fires,59,01/05/2016 06:31:51 AM,01/05/2016 06:32:10 AM,01/05/2016 06:37:10 AM,01/05/2016 06:51:41 AM,N,Y,378,319,3,2,1
1600504720110333,01/05/2016 08:10:05 AM,MANHATTAN,472,IRVING PL & E 15 ST,MANHATTAN,10003,13,2,105,2,12,Private Fire Alarm,Initial Alarm,First Alarm,Alarm System - Defective,NonMedical Emergencies,50,01/05/2016 08:10:55 AM,01/05/2016 08:11:20 AM,01/05/2016 08:15:19 AM,01/05/2016 08:35:46 AM,N,Y,314,264,4,2,1
1600504720210440,01/05/2016 09:29:05 AM,MANHATTAN,472,IRVING PL & E 15 ST,MANHATTAN,10003,13,2,105,2,12,Private Fire Alarm,Initial Alarm,First Alarm,Alarm System - Defective,NonMedical Emergencies,48,01/05/2016 09:29:53 AM,01/05/2016 09:30:04 AM,01/05/2016 09:33:04 AM,01/05/2016 09:52:45 AM,N,Y,239,191,3,2,1
