,STARFIRE_INCIDENT_ID,INCIDENT_DATETIME,ALARM_BOX_BOROUGH,ALARM_BOX_NUMBER,ALARM_BOX_LOCATION,INCIDENT_BOROUGH,ZIPCODE,POLICEPRECINCT,CITYCOUNCILDISTRICT,COMMUNITYDISTRICT,COMMUNITYSCHOOLDISTRICT,CONGRESSIONALDISTRICT,ALARM_SOURCE_DESCRIPTION_TX,ALARM_LEVEL_INDEX_DESCRIPTION,HIGHEST_ALARM_LEVEL,INCIDENT_CLASSIFICATION,INCIDENT_CLASSIFICATION_GROUP,DISPATCH_RESPONSE_SECONDS_QY,FIRST_ASSIGNMENT_DATETIME,FIRST_ACTIVATION_DATETIME,FIRST_ON_SCENE_DATETIME,INCIDENT_CLOSE_DATETIME,VALID_DISPATCH_RSPNS_TIME_INDC,VALID_INCIDENT_RSPNS_TIME_INDC,INCIDENT_RESPONSE_SECONDS_QY,INCIDENT_TRAVEL_TM_SECONDS_QY,ENGINES_ASSIGNED_QUANTITY,LADDERS_ASSIGNED_QUANTITY,OTHER_UNITS_ASSIGNED_QUANTITY,LATITUDE,LONGITUDE
23,1.6004E+15,1/4/16 10:40,MANHATTAN,488,IRVING PL & E 19 ST,MANHATTAN,10003,13,2,106,2,12,Verbal,Initial Alarm,First Alarm,Assist Civilian - Non-Medical,NonMedical Emergencies,29,1/4/16 10:41,1/4/16 10:41,1/4/16 10:51,1/4/16 10:51,N,N,645,616,0,1,0,40.7370595,-73.9865336
24,1.6004E+15,1/4/16 14:02,MANHATTAN,454,3 AVE & E 10 ST,MANHATTAN,10003,9,2,103,1,12,PD Link/Medical,Initial Alarm,First Alarm,Medical - Assist Civilian,Medical Emergencies,5,1/4/16 14:02,1/4/16 14:02,1/4/16 14:06,1/4/16 14:24,N,Y,269,264,1,0,0,40.7307173,-73.989061
25,1.6004E+15,1/4/16 15:13,MANHATTAN,456,2 AVE & E 11 ST,MANHATTAN,10003,9,2,103,1,12,Phone,DEFAULT RECORD,First Alarm,Non-Medical MFA - Phone,NonMedical MFAs,35,1/4/16 15:14,1/4/16 15:14,1/4/16 15:17,1/4/16 15:21,N,Y,211,176,2,2,1,40.730379,-73.9863665
26,1.6004E+15,1/4/16 15:56,MANHATTAN,448,2 AVE & 9 ST,MANHATTAN,10003,9,2,103,1,12,PD Link/Medical,Initial Alarm,First Alarm,Medical - Assist Civilian,Medical Emergencies,4,1/4/16 15:56,1/4/16 15:57,1/4/16 16:02,1/4/16 16:10,N,Y,336,332,1,0,0,40.7291746,-73.9872494
27,1.6004E+15,1/4/16 19:59,MANHATTAN,397,GREENE & 8 ST,MANHATTAN,10003,6,1,102,2,12,EMS Link/Medical,Initial Alarm,First Alarm,Medical - EMS Link 10-91,Medical Emergencies,6,1/4/16 20:00,1/4/16 20:00,1/4/16 20:03,1/4/16 20:10,N,Y,226,220,1,0,0,40.731264,-73.9940545
28,1.6004E+15,1/4/16 23:30,MANHATTAN,481,2 AVE & E 17 ST,MANHATTAN,10003,13,2,106,2,12,Private Fire Alarm,Initial Alarm,First Alarm,Alarm System - Defective,NonMedical Emergencies,47,1/4/16 23:31,1/4/16 23:31,1/4/16 23:35,1/5/16 0:06,N,Y,294,247,3,2,1,40.734242,-73.9835512
29,1.6005E+15,1/5/16 8:10,MANHATTAN,472,IRVING PL & E 15 ST,MANHATTAN,10003,13,2,105,2,12,Private Fire Alarm,Initial Alarm,First Alarm,Alarm System - Defective,NonMedical Emergencies,50,1/5/16 8:10,1/5/16 8:11,1/5/16 8:15,1/5/16 8:35,N,Y,314,264,4,2,1,40.7346509,-73.9882781
30,1.6005E+15,1/5/16 9:29,MANHATTAN,472,IRVING PL & E 15 ST,MANHATTAN,10003,13,2,105,2,12,Private Fire Alarm,Initial Alarm,First Alarm,Alarm System - Defective,NonMedical Emergencies,48,1/5/16 9:29,1/5/16 9:30,1/5/16 9:33,1/5/16 9:52,N,Y,239,191,3,2,1,40.7346509,-73.9882781
31,1.60051E+15,1/5/16 14:44,MANHATTAN,524,UNIVERSITY PLACE & 11 ST,MANHATTAN,10003,6,2,102,2,12,Private Fire Alarm,Initial Alarm,First Alarm,Sprinkler System - Malfunction,NonMedical Emergencies,52,1/5/16 14:45,1/5/16 14:46,1/5/16 14:48,1/5/16 15:14,N,Y,197,145,1,1,1,40.7332923,-73.9933363
32,1.6005E+15,1/5/16 18:05,MANHATTAN,437,2 AVE & E 7 ST,MANHATTAN,10003,9,2,103,1,12,Phone,Initial Alarm,First Alarm,Odor - Other Than Smoke,NonMedical Emergencies,34,1/5/16 18:06,1/5/16 18:06,1/5/16 18:11,1/5/16 18:23,N,Y,353,319,2,1,1,40.7279634,-73.9881305
33,1.60051E+15,1/5/16 20:34,MANHATTAN,505,BROADWAY & 10 ST,MANHATTAN,10003,6,2,102,2,12,Phone,Initial Alarm,First Alarm,Assist Civilian - Non-Medical,NonMedical Emergencies,51,1/5/16 20:35,1/5/16 20:35,1/5/16 20:40,1/5/16 20:58,N,Y,351,300,2,1,1,40.7317192,-73.9914682
34,1.6005E+15,1/5/16 21:30,MANHATTAN,473,2 AVE & E 15 ST,MANHATTAN,10003,13,2,106,2,12,Private Fire Alarm,Initial Alarm,First Alarm,Alarm System - Unnecessary,NonMedical Emergencies,93,1/5/16 21:31,1/5/16 21:32,1/5/16 21:36,1/5/16 21:46,N,Y,387,294,3,2,1,40.7330369,-73.9844118
35,1.60051E+15,1/5/16 22:11,MANHATTAN,566,UNION SQ WEST & E 15 ST,MANHATTAN,10003,13,2,105,2,12,PD Link/Medical,Initial Alarm,First Alarm,Medical - PD Link 10-91,Medical Emergencies,305,1/5/16 22:16,1/5/16 22:17,1/5/16 22:23,1/5/16 22:26,N,N,703,398,1,0,0,40.7358984,-73.9912281
36,1.6006E+15,1/6/16 9:31,MANHATTAN,396,BROADWAY & 8 ST,MANHATTAN,10003,9,2,102,2,12,Private Fire Alarm,Initial Alarm,First Alarm,Alarm System - Defective,NonMedical Emergencies,34,1/6/16 9:32,1/6/16 9:32,1/6/16 9:37,1/6/16 9:50,N,Y,363,329,1,0,1,40.7305773,-73.9924238
37,1.6006E+15,1/6/16 14:38,MANHATTAN,486,3 AVE & E 18 ST,MANHATTAN,10003,13,2,106,2,12,Private Fire Alarm,Initial Alarm,First Alarm,Alarm System - Unnecessary,NonMedical Emergencies,33,1/6/16 14:38,1/6/16 14:39,1/6/16 14:45,1/6/16 14:47,N,Y,407,374,2,0,2,40.7357932,-73.9853797
38,1.6006E+15,1/6/16 16:41,MANHATTAN,465,2 AVE & 13 ST,MANHATTAN,10003,9,2,103,1,12,UCT/911,Initial Alarm,First Alarm,Defective Oil Burner,NonMedical Emergencies,17,1/6/16 16:42,1/6/16 16:42,1/6/16 16:44,1/6/16 16:59,N,Y,192,175,3,2,1,40.7316589,-73.9854323
39,1.6007E+15,1/7/16 0:15,MANHATTAN,437,2 AVE & E 7 ST,MANHATTAN,10003,9,2,103,1,12,UCT/911,Initial Alarm,First Alarm,Demolition Debris or Rubbish Fire,NonStructural Fires,12,1/7/16 0:16,1/7/16 0:16,1/7/16 0:25,1/7/16 0:26,N,N,557,545,1,0,0,40.7279634,-73.9881305
40,1.6007E+15,1/7/16 4:02,MANHATTAN,446,3 AVE & ST. MARKS PL,MANHATTAN,10003,9,2,103,1,12,UCT/911,Initial Alarm,First Alarm,Defective Oil Burner,NonMedical Emergencies,17,1/7/16 4:02,1/7/16 4:03,1/7/16 4:06,1/7/16 4:30,N,Y,230,213,3,2,1,40.7295535,-73.9899172
41,1.6007E+15,1/7/16 6:05,MANHATTAN,396,BROADWAY & 8 ST,MANHATTAN,10003,9,2,102,2,12,Private Fire Alarm,Initial Alarm,First Alarm,Alarm System - Defective,NonMedical Emergencies,41,1/7/16 6:06,1/7/16 6:07,1/7/16 6:11,1/7/16 6:21,N,Y,313,272,1,0,1,40.7305773,-73.9924238
42,1.6007E+15,1/7/16 9:21,MANHATTAN,473,2 AVE & E 15 ST,MANHATTAN,10003,13,2,106,2,12,Private Fire Alarm,DEFAULT RECORD,First Alarm,Non-Medical MFA - Private Fire Alarm,NonMedical MFAs,47,1/7/16 9:22,1/7/16 9:22,1/7/16 9:26,1/7/16 9:28,N,Y,316,269,3,2,1,40.7330369,-73.9844118
43,1.6007E+15,1/7/16 14:22,MANHATTAN,385,LAFAYETTE ST & 4 ST,MANHATTAN,10003,9,2,102,2,12,Private Fire Alarm,Initial Alarm,First Alarm,Other Commercial Building Fire,Structural Fires,30,1/7/16 14:22,1/7/16 14:23,1/7/16 14:26,1/7/16 14:39,N,Y,260,230,1,0,1,40.7278625,-73.9931345
44,1.6007E+15,1/7/16 14:35,MANHATTAN,448,2 AVE & 9 ST,MANHATTAN,10003,9,2,103,1,12,UCT/911,Initial Alarm,First Alarm,Odor - Other Than Smoke,NonMedical Emergencies,34,1/7/16 14:36,1/7/16 14:36,1/7/16 14:42,1/7/16 14:57,N,Y,412,378,2,2,1,40.7291746,-73.9872494
45,1.60071E+15,1/7/16 18:18,MANHATTAN,554,UNIVERSITY PL & 13 ST,MANHATTAN,10003,6,2,102,2,12,Private Fire Alarm,Initial Alarm,First Alarm,Alarm System - Defective,NonMedical Emergencies,101,1/7/16 18:20,1/7/16 18:20,1/7/16 18:23,1/7/16 18:36,N,Y,296,195,1,1,1,40.7345463,-73.9922668
46,1.6008E+15,1/8/16 0:40,MANHATTAN,471,3 AVE & E 14 ST,MANHATTAN,10003,9,2,103,1,12,UCT/911,Initial Alarm,First Alarm,Assist Civilian - Non-Medical,NonMedical Emergencies,20,1/8/16 0:40,1/8/16 0:41,1/8/16 0:47,1/8/16 0:58,N,Y,410,390,0,1,0,40.7332802,-73.9871961
47,1.6008E+15,1/8/16 12:45,MANHATTAN,481,2 AVE & E 17 ST,MANHATTAN,10003,13,2,106,2,12,Private Fire Alarm,Initial Alarm,First Alarm,Alarm System - Defective,NonMedical Emergencies,49,1/8/16 12:46,1/8/16 12:46,1/8/16 12:51,1/8/16 13:03,N,Y,365,316,1,1,0,40.734242,-73.9835512
48,1.60081E+15,1/8/16 12:53,MANHATTAN,525,BROADWAY & 12 ST,MANHATTAN,10003,6,2,102,2,12,EMS Link/Medical,Initial Alarm,First Alarm,Medical - Assist Civilian,Medical Emergencies,19,1/8/16 12:54,1/8/16 12:54,1/8/16 12:58,1/8/16 14:41,N,Y,244,225,2,1,2,40.733201,-73.9911174
49,1.6008E+15,1/8/16 14:34,MANHATTAN,486,3 AVE & E 18 ST,MANHATTAN,10003,13,2,106,2,12,EMS Link/Medical,Initial Alarm,First Alarm,Medical - Assist Civilian,Medical Emergencies,6,1/8/16 14:34,1/8/16 14:35,1/8/16 14:39,1/8/16 15:00,N,Y,299,293,1,0,0,40.7357932,-73.9853797
50,1.6008E+15,1/8/16 15:06,MANHATTAN,397,GREENE & 8 ST,MANHATTAN,10003,6,2,102,2,12,PD Link/Medical,Initial Alarm,First Alarm,Medical - PD Link 10-91,Medical Emergencies,8,1/8/16 15:07,1/8/16 15:07,1/8/16 15:10,1/8/16 15:21,N,Y,203,195,1,0,0,40.731264,-73.9940545
51,1.6008E+15,1/8/16 15:58,MANHATTAN,465,2 AVE & 13 ST,MANHATTAN,10003,9,2,103,1,12,Private Fire Alarm,Initial Alarm,First Alarm,Alarm System - Defective,NonMedical Emergencies,63,1/8/16 15:59,1/8/16 16:00,1/8/16 16:04,1/8/16 16:15,N,Y,331,268,1,1,1,40.7316589,-73.9854323
52,1.6009E+15,1/9/16 3:20,MANHATTAN,471,3 AVE & E 14 ST,MANHATTAN,10003,9,2,103,1,12,UCT/911,Initial Alarm,First Alarm,Demolition Debris or Rubbish Fire,NonStructural Fires,7,1/9/16 3:20,1/9/16 3:21,1/9/16 3:26,1/9/16 3:50,N,Y,366,359,1,0,0,40.7332802,-73.9871961
53,1.6009E+15,1/9/16 3:23,MANHATTAN,471,3 AVE & E 14 ST,MANHATTAN,10003,9,2,103,1,12,Private Fire Alarm,Initial Alarm,First Alarm,Alarm System - Defective,NonMedical Emergencies,68,1/9/16 3:24,1/9/16 3:24,1/9/16 3:29,1/9/16 3:46,N,Y,364,296,1,1,1,40.7332802,-73.9871961
54,1.6009E+15,1/9/16 4:57,MANHATTAN,388,GREENE ST & WASHINGTON PL,MANHATTAN,10003,6,1,102,2,10,Private Fire Alarm,Initial Alarm,First Alarm,Utility Emergency - Steam,NonMedical Emergencies,56,1/9/16 4:58,1/9/16 4:59,1/9/16 5:02,1/9/16 5:18,N,Y,286,230,3,2,1,40.7297863,-73.9953192
55,1.6009E+15,1/9/16 18:38,MANHATTAN,488,IRVING PL & E 19 ST,MANHATTAN,10003,13,2,106,2,12,EMS Link/Medical,Initial Alarm,First Alarm,Medical - Assist Civilian,Medical Emergencies,2,1/9/16 18:38,1/9/16 18:38,1/9/16 18:45,1/9/16 19:01,N,Y,421,419,1,0,0,40.7370595,-73.9865336
56,1.6009E+15,1/9/16 21:59,MANHATTAN,480,IRVING PL & E 17 ST,MANHATTAN,10003,13,2,106,2,12,UCT/911,Initial Alarm,First Alarm,Alarm System - Defective,NonMedical Emergencies,24,1/9/16 21:59,1/9/16 21:59,1/9/16 22:02,1/9/16 22:17,N,Y,179,155,3,2,1,40.7358757,-73.9874033
57,1.601E+15,1/10/16 13:18,MANHATTAN,478,3 AVE & E 16 ST,MANHATTAN,10003,13,2,106,2,12,PD Link/Medical,Initial Alarm,First Alarm,Medical - Assist Civilian,Medical Emergencies,5,1/10/16 13:18,1/10/16 13:18,1/10/16 13:22,1/10/16 13:36,N,Y,258,253,1,0,0,40.7346182,-73.986211
58,1.601E+15,1/10/16 15:09,MANHATTAN,488,IRVING PL & E 19 ST,MANHATTAN,10003,13,2,106,2,12,Private Fire Alarm,Initial Alarm,First Alarm,Alarm System - Unnecessary,NonMedical Emergencies,36,1/10/16 15:10,1/10/16 15:10,1/10/16 15:14,1/10/16 15:19,N,Y,284,248,1,1,0,40.7370595,-73.9865336
59,1.601E+15,1/10/16 15:51,MANHATTAN,480,IRVING PL & E 17 ST,MANHATTAN,10003,13,2,105,2,12,Verbal,Initial Alarm,First Alarm,Vehicle Accident - Other,NonMedical Emergencies,33,1/10/16 15:52,1/10/16 15:52,1/10/16 15:58,1/10/16 16:03,N,Y,407,374,0,0,2,40.7358757,-73.9874033
60,1.601E+15,1/10/16 17:05,MANHATTAN,480,IRVING PL & E 17 ST,MANHATTAN,10003,13,2,106,2,12,UCT/911,Initial Alarm,First Alarm,Utility Emergency - Gas,NonMedical Emergencies,11,1/10/16 17:05,1/10/16 17:05,1/10/16 17:08,1/10/16 17:34,N,Y,229,218,2,2,1,40.7358757,-73.9874033
61,1.60101E+15,1/10/16 20:11,MANHATTAN,554,UNIVERSITY PL & 13 ST,MANHATTAN,10003,6,2,102,2,12,Private Fire Alarm,Initial Alarm,First Alarm,Alarm System - Defective,NonMedical Emergencies,55,1/10/16 20:12,1/10/16 20:13,1/10/16 20:15,1/10/16 20:19,N,Y,223,168,1,1,1,40.7345463,-73.9922668
62,1.6011E+15,1/11/16 5:49,MANHATTAN,437,2 AVE & E 7 ST,MANHATTAN,10003,9,2,103,1,12,Phone,Initial Alarm,First Alarm,Demolition Debris or Rubbish Fire,NonStructural Fires,26,1/11/16 5:49,1/11/16 5:50,1/11/16 5:55,1/11/16 5:58,N,Y,365,339,1,0,0,40.7279634,-73.9881305
63,1.6011E+15,1/11/16 10:48,MANHATTAN,437,2 AVE & E 7 ST,MANHATTAN,10003,9,2,103,1,12,Phone,Initial Alarm,First Alarm,Odor - Other Than Smoke,NonMedical Emergencies,51,1/11/16 10:49,1/11/16 10:49,1/11/16 10:52,1/11/16 11:10,N,Y,188,137,2,2,1,40.7279634,-73.9881305
64,1.60111E+15,1/11/16 11:51,MANHATTAN,566,UNION SQ WEST & E 15 ST,MANHATTAN,10003,13,2,105,2,12,EMS Link/Medical,Initial Alarm,First Alarm,Medical - EMS Link 10-91,Medical Emergencies,8,1/11/16 11:51,1/11/16 11:51,1/11/16 11:56,1/11/16 12:00,N,Y,307,299,1,0,0,40.7358984,-73.9912281
65,1.60111E+15,1/11/16 11:53,MANHATTAN,566,UNION SQ WEST & E 15 ST,MANHATTAN,10003,13,2,105,2,12,EMS Link/Medical,Initial Alarm,First Alarm,Medical - EMS Link 10-91,Medical Emergencies,441,1/11/16 12:01,1/11/16 12:01,1/11/16 12:02,1/11/16 12:06,N,N,498,57,1,0,0,40.7358984,-73.9912281
66,1.6011E+15,1/11/16 22:33,MANHATTAN,393,UNIVERSITY PL & WASHINGTON SQ NORTH,MANHATTAN,10003,6,1,102,2,10,Private Fire Alarm,DEFAULT RECORD,First Alarm,Non-Medical MFA - Private Fire Alarm,NonMedical MFAs,33,1/11/16 22:34,1/11/16 22:34,1/11/16 22:37,1/11/16 22:40,N,Y,259,226,3,2,1,40.7307203,-73.9955793
67,1.6011E+15,1/11/16 23:02,MANHATTAN,446,3 AVE & ST. MARKS PL,MANHATTAN,10003,9,2,103,1,12,UCT/911,Initial Alarm,First Alarm,Demolition Debris or Rubbish Fire,NonStructural Fires,6,1/11/16 23:02,1/11/16 23:02,1/11/16 23:07,1/11/16 23:09,N,Y,320,314,1,0,0,40.7295535,-73.9899172
68,1.6012E+15,1/12/16 13:32,MANHATTAN,388,GREENE ST & WASHINGTON PL,MANHATTAN,10003,6,1,102,2,10,Phone,Initial Alarm,First Alarm,Odor - Other Than Smoke,NonMedical Emergencies,55,1/12/16 13:33,1/12/16 13:33,1/12/16 13:38,1/12/16 13:47,N,Y,343,288,3,2,1,40.7297863,-73.9953192
69,1.60121E+15,1/12/16 13:56,MANHATTAN,566,UNION SQ WEST & E 15 ST,MANHATTAN,10003,13,2,105,2,12,PD Link/Medical,Initial Alarm,First Alarm,Medical - Assist Civilian,Medical Emergencies,5,1/12/16 13:56,1/12/16 13:56,1/12/16 14:00,1/12/16 14:14,N,Y,259,254,1,0,0,40.7358984,-73.9912281
70,1.6012E+15,1/12/16 14:02,MANHATTAN,481,2 AVE & E 17 ST,MANHATTAN,10003,13,2,106,2,12,EMS Link/Medical,Initial Alarm,First Alarm,Medical - Assist Civilian,Medical Emergencies,722,1/12/16 14:14,1/12/16 14:15,1/12/16 14:21,1/12/16 14:31,N,N,1117,395,1,0,0,40.734242,-73.9835512
